Date and Time (UTC),Receiver,Transmitter,Transmitter Name,Transmitter Serial,Sensor Value,Sensor Unit,Station Name,Latitude,Longitude
30/09/10 17:31,VR2W-104844,A69-9002-2116,,,17,ADC,,,
30/09/10 19:42,VR2W-104856,A69-9002-2116,,,13,ADC,,,
30/09/10 19:44,VR2W-104856,A69-9002-2116,,,12,ADC,,,
30/09/10 19:46,VR2W-104856,A69-9002-2116,,,11,ADC,,,
30/09/10 19:49,VR2W-104856,A69-9002-2116,,,13,ADC,,,
10/10/10 23:35,VR2W-104856,A69-9002-2116,,,8,ADC,,,
11/10/10 12:02,VR2W-109032,A69-9002-2116,,,16,ADC,,,
11/10/10 12:04,VR2W-109032,A69-9002-2116,,,16,ADC,,,
11/10/10 12:19,VR2W-109032,A69-9002-2116,,,15,ADC,,,
11/10/10 12:22,VR2W-109032,A69-9002-2116,,,5,ADC,,,
11/10/10 12:25,VR2W-109032,A69-9002-2116,,,4,ADC,,,
11/10/10 12:27,VR2W-109032,A69-9002-2116,,,4,ADC,,,
11/10/10 12:28,VR2W-109032,A69-9002-2116,,,4,ADC,,,
11/10/10 12:30,VR2W-109032,A69-9002-2116,,,9,ADC,,,
11/10/10 12:38,VR2W-109032,A69-9002-2116,,,7,ADC,,,
11/10/10 12:40,VR2W-109032,A69-9002-2116,,,4,ADC,,,
11/10/10 12:51,VR2W-109032,A69-9002-2116,,,4,ADC,,,
11/10/10 12:54,VR2W-109032,A69-9002-2116,,,6,ADC,,,
11/10/10 13:00,VR2W-109032,A69-9002-2116,,,7,ADC,,,
11/10/10 13:03,VR2W-109032,A69-9002-2116,,,7,ADC,,,
11/10/10 13:05,VR2W-109032,A69-9002-2116,,,9,ADC,,,
11/10/10 13:08,VR2W-109032,A69-9002-2116,,,11,ADC,,,
11/10/10 13:11,VR2W-109032,A69-9002-2116,,,10,ADC,,,
11/10/10 13:13,VR2W-109032,A69-9002-2116,,,9,ADC,,,
22/10/10 2:44,VR2W-109040,A69-9002-2116,,,5,ADC,,,
22/10/10 2:46,VR2W-109040,A69-9002-2116,,,7,ADC,,,
22/10/10 2:49,VR2W-109040,A69-9002-2116,,,5,ADC,,,
23/10/10 0:18,VR2W-104857,A69-9002-2116,,,16,ADC,,,
23/10/10 0:21,VR2W-104857,A69-9002-2116,,,15,ADC,,,
26/10/10 11:47,VR2W-104857,A69-9002-2116,,,6,ADC,,,
26/10/10 12:00,VR2W-104857,A69-9002-2116,,,4,ADC,,,
26/10/10 12:02,VR2W-104857,A69-9002-2116,,,4,ADC,,,
26/10/10 12:05,VR2W-104857,A69-9002-2116,,,4,ADC,,,
9/02/11 13:50,VR2W-109032,A69-9002-2116,,,6,ADC,,,
9/02/11 13:52,VR2W-109032,A69-9002-2116,,,5,ADC,,,
9/02/11 13:54,VR2W-109032,A69-9002-2116,,,4,ADC,,,
9/02/11 13:56,VR2W-109032,A69-9002-2116,,,4,ADC,,,
9/02/11 13:59,VR2W-109032,A69-9002-2116,,,7,ADC,,,
9/02/11 14:05,VR2W-109032,A69-9002-2116,,,10,ADC,,,
10/02/11 6:07,VR2W-109032,A69-9002-2116,,,4,ADC,,,
10/02/11 6:09,VR2W-109032,A69-9002-2116,,,4,ADC,,,
10/02/11 6:11,VR2W-109032,A69-9002-2116,,,5,ADC,,,
10/02/11 6:12,VR2W-109032,A69-9002-2116,,,4,ADC,,,
10/02/11 6:13,VR2W-109032,A69-9002-2116,,,4,ADC,,,
10/02/11 6:16,VR2W-109032,A69-9002-2116,,,4,ADC,,,
10/02/11 6:24,VR2W-109032,A69-9002-2116,,,4,ADC,,,
10/02/11 6:29,VR2W-109032,A69-9002-2116,,,4,ADC,,,
10/02/11 6:30,VR2W-109032,A69-9002-2116,,,4,ADC,,,
10/02/11 6:31,VR2W-109032,A69-9002-2116,,,4,ADC,,,
10/02/11 6:38,VR2W-109032,A69-9002-2116,,,4,ADC,,,
10/02/11 6:43,VR2W-109032,A69-9002-2116,,,4,ADC,,,
10/02/11 6:44,VR2W-109032,A69-9002-2116,,,4,ADC,,,
10/02/11 6:46,VR2W-109032,A69-9002-2116,,,4,ADC,,,
10/02/11 6:48,VR2W-109032,A69-9002-2116,,,4,ADC,,,
10/02/11 6:50,VR2W-109032,A69-9002-2116,,,4,ADC,,,
10/02/11 6:53,VR2W-109032,A69-9002-2116,,,4,ADC,,,
10/02/11 6:54,VR2W-109032,A69-9002-2116,,,4,ADC,,,
10/02/11 6:59,VR2W-109032,A69-9002-2116,,,4,ADC,,,
10/02/11 7:04,VR2W-109032,A69-9002-2116,,,4,ADC,,,
10/02/11 7:08,VR2W-109032,A69-9002-2116,,,4,ADC,,,
10/02/11 7:15,VR2W-109032,A69-9002-2116,,,4,ADC,,,
10/02/11 7:17,VR2W-109032,A69-9002-2116,,,4,ADC,,,
10/02/11 7:18,VR2W-109032,A69-9002-2116,,,4,ADC,,,
10/02/11 7:19,VR2W-109032,A69-9002-2116,,,4,ADC,,,
10/02/11 7:22,VR2W-109032,A69-9002-2116,,,4,ADC,,,
10/02/11 7:23,VR2W-109032,A69-9002-2116,,,4,ADC,,,
10/02/11 7:26,VR2W-109032,A69-9002-2116,,,4,ADC,,,
10/02/11 7:28,VR2W-109032,A69-9002-2116,,,5,ADC,,,
10/02/11 7:30,VR2W-109032,A69-9002-2116,,,4,ADC,,,
10/02/11 7:32,VR2W-109032,A69-9002-2116,,,4,ADC,,,
10/02/11 7:34,VR2W-109032,A69-9002-2116,,,4,ADC,,,
10/02/11 7:36,VR2W-109032,A69-9002-2116,,,4,ADC,,,
10/02/11 7:47,VR2W-109032,A69-9002-2116,,,7,ADC,,,
10/02/11 7:49,VR2W-109032,A69-9002-2116,,,5,ADC,,,
10/02/11 7:50,VR2W-109032,A69-9002-2116,,,4,ADC,,,
10/02/11 7:51,VR2W-109032,A69-9002-2116,,,6,ADC,,,
10/02/11 7:58,VR2W-109032,A69-9002-2116,,,4,ADC,,,
10/02/11 8:01,VR2W-109032,A69-9002-2116,,,4,ADC,,,
10/02/11 8:07,VR2W-109032,A69-9002-2116,,,4,ADC,,,
10/02/11 8:09,VR2W-109032,A69-9002-2116,,,4,ADC,,,
10/02/11 8:11,VR2W-109032,A69-9002-2116,,,4,ADC,,,
10/02/11 8:14,VR2W-109032,A69-9002-2116,,,4,ADC,,,
10/02/11 8:16,VR2W-109032,A69-9002-2116,,,4,ADC,,,
10/02/11 8:21,VR2W-109032,A69-9002-2116,,,4,ADC,,,
10/02/11 8:24,VR2W-109032,A69-9002-2116,,,4,ADC,,,
10/02/11 8:26,VR2W-109032,A69-9002-2116,,,4,ADC,,,
10/02/11 8:29,VR2W-109032,A69-9002-2116,,,4,ADC,,,
10/02/11 8:31,VR2W-109032,A69-9002-2116,,,4,ADC,,,
10/02/11 8:34,VR2W-109032,A69-9002-2116,,,4,ADC,,,
10/02/11 8:36,VR2W-109032,A69-9002-2116,,,4,ADC,,,
